en,de
[center][img width=16 color=#ffffff8b]res://audiovisual/loading.png[/img]   Checking for updates,[center][img width=16 color=#ffffff8b]res://audiovisual/loading.png[/img]   Suche nach Aktualisierungen
[center][wave amp=36]Installing mod...,[center][wave amp=36]Mod wird installiert...
[center][img width=16 color=#ffffff8b]res://audiovisual/{img}.png[/img]   Please hold,[center][img width=16 color=#ffffff8b]res://audiovisual/{img}.png[/img]   Bitte Warten
[center][img width=16 color=#ffffff8b]res://audiovisual/{img}.png[/img]   {count} out of {total} MB downloaded,[center][img width=16 color=#ffffff8b]res://audiovisual/{img}.png[/img]   {count} von {total} MB heruntergeladen
[center][img width=16 color=#ffffff8b]res://audiovisual/{img}.png[/img]   Extracting files,[center][img width=16 color=#ffffff8b]res://audiovisual/{img}.png[/img]   Dateien werden entpackt
,
Can't install game!,Das Spiel konnte nicht installiert werden!
Game currently not available.,Das Spiel ist zurzeit nicht verfügbar
Something went wrong,Etwas ist schiefgelaufen
Some info might be out of date.,Einige Informationen können veraltet sein
DB server unreachable.,Datenbank Server ist nicht erreichbar.
Please try again later!,Bitte versuche es später noch einmal!
OK,Okay
Confirm,Bestätigen
Cancel,Abbrechen
Warning,Warnung
Alert!,Achtung!
Success,Erfolgreich
"Game servers are down or unreachable at the moment.
Vanilla and mods might be affected.","Die Spielserver sind zurzeit Offline oder nicht erreichbar.
Vanilla und Mods sind villeicht betroffen."
"Mod not found in the gallery!
It might've become unavailable since you've last installed it.","Mod nicht in der Galerie gefunden!
Möglicherweise ist er seit deiner letzten Installation nicht mehr verfügbar."
Please select an empty folder.,Bitte wähle einen leeren Ordner
No downloads found.,Keine Downloads gefunden.
No downloads found for your OS.,Für dein Betriebsystem wurden keine Downloads gefunden.
"Try enabling ""Show all platforms"" in Settings!","Schalte mal ""Alle Plattformen anzeigen"" an in den Einstellungen."
"Sorry, this mod is not compatible.
Please try another version or visit its website and install it manually.","Diese Mod ist nicht kompatibel.
Versuche eine anderen Version oder besuche die Webseite und installiere die Mod manuell"
Empty archive.,Leeres Archiv.
Couldn't find an executable in the downloaded files. 'Launch' will not work.,"Es wurde keine Ausführbare Datei gefunden, 'Starten' wird nicht funktionieren."
Couldn't launch game!,Spiel konnte nicht gestartet werden!
"Maybe it's corrupted?
Please try reinstalling this mod.","Villeicht sind die Dateien beschädigt?
Versuche die Mod nochmal herunterzuladen."
"Maybe it's not built for your type of device?
Please choose another version.","Villeicht ist diese Version nicht für dein Betriebsystem gemacht?
Versuche eine anderen Version."
"Maybe it's corrupted or incompatible?
Please visit this mod's website and try installing it manually.","Villeicht sind die Dateien beschädigt oder inkompatibel?
Bitte versuche die Mod manuell von der Webseite zu installieren"
"A problem happened and some files might've not been deleted successfully.
Maybe the game is still running, or your device's Recycle Bin is full?","Es ist ein Problem aufgetreten und einige Dateien wurden möglicherweise nicht erfolgreich gelöscht.
Vielleicht läuft das Spiel noch oder der Papierkorb deines Geräts ist voll?"
"Please select a folder as the location for any future installs.
Watch out, the previous install location and its contents will be deleted!","Bitte wähle ein Order für zukünftige installationen.
Achtung, der vorherige Pfad und Inhalte werden gelöscht!"
"Please choose the mod you want to see in the 'Vanilla' tab.
Come back to Settings to cancel the operation.","Bitte wähle die Mod aus du im Reiter 'Vanilla' sehen möchtest.
Gehe zu den Einstellungen um diese Aktion abzubrechen"
"This mod is not vanilla compatible (it doesn't share the same servers and playerbase) - proceed at your own discretion.
You can revert this change by re-choosing 'New Super Mario Bros. Versus' for this setting.","Diese Mod ist nicht mit Vanilla kompatibel (nutzt nicht dieselben Server und Spielerbasis) – gehe nach eigenem Ermessen vor.
Du kannst diese Änderung rückgängig machen, indem du erneut 'New Super Mario Bros. Versus' auswählen."
App will reboot now to apply changes.,"Die App wird jetzt neu gestartet, um die Änderungen anzuwenden."
{count} new mods have been added since the last time you checked!,Seit deiner letzten Überprüfung wurden {count} neue Mods hinzugefügt!
"New updates for mods you're subscribed to!
{mods}","Neue Updates für abonnierte Mods!
{mods}"
"This will reset your character to Mario in vanilla MvLO to attempt fixing this problem.
Please only do this once and if you're actually having issues.","Dadurch wird dein Charakter auf Mario in Vanilla MvLO zurückgesetzt, um das Problem zu beheben.
Bitte tu dies nur einmal und nur, wenn tatsächlich Probleme auftreten."
"This operation will open the following website using your default browser:
{url}
Continue?","Dieser Vorgang öffnet die folgende Webseite in deinem Standardbrowser:
{url}
Weiter?"
New update available!,Neues Update verfügbar!
Date:,Datum:
Changelog:,Änderungsprotokoll:
Please download the new release.,Bitte lade die neue Version herunter.
,
Notify when a new release for this mod has been uploaded.,"Benachrichtigen, wenn eine neue Version für diesen Mod hochgeladen wurde."
Write down a keyword to filter mods by.,"Schreibe ein Schlüsselwort, nach dem Mods gefiltert werden sollen."
Order of elements below (descending).,Reihenfolge der Elemente unten (absteigend).
Don't show mods you haven't installed.,"Zeige keine Mods an, die nicht installiert sind."
Don't show mods you haven't starred.,"Zeigen keine Mods an, die nicht mit einem Stern markiert wurden."
Back,Zurück
Mark mod as favourite,Mod als Favorit markieren
Thanks for the support!,Danke für die Unterstützung!
Built on the {date},Build am {date}
Visit this project's GitHub repo.,Besuche das GitHub-Repository dieses Projekts.
"Show a list of small buttons in the 'Mod Gallery' tab
instead of a grid of big buttons.","Im Reiter 'Mod-Galerie' wird eine Liste kleiner Schaltflächen angezeigt, statt eines Rasters mit großen Schaltflächen."
"Include download options for any OS,
even if they differ from your device's one.","Fügt Download-Optionen für alle Betriebssysteme hinzu, auch wenn diese sich von deinem Geräts unterscheiden."
"Enable 'new version' notifications
for all mods you install from now on.","Aktiviere Benachrichtigungen über neue Versionen für alle Mods, die du ab jetzt installierst."
Change the visuals of the UI.,Ändert die Optik der Benutzeroberfläche.
"Remember the screen you were viewing when exiting
and re-open that one when booting up the app.","Merkt sich den Bildschirm, den du beim Beenden angezeigt haben, und öffnen ihn erneut, wenn du die App starten."
"Provide rich presence for Discord
for mods that don't implement it.","Enthält Discord Rich Presence
Für Mods die das nicht automatisch haben."
"Minimize the app when opening a mod
and restore it back when closing that mod.",Minimiert die App beim Öffnen eines Mods und stellt sich beim Schließen der Mods wieder her.
Custom folder to install mods to.,Benutzerdefinierter Ordner zum Installieren von Mods.
"If a mod built for {os} is launched,
use these extra parameters before the filename when executing the command.
i.e.: {example}","Wenn ein für {os} erstellte Mod gestartet wird,
werden diese zusätzlichen Parameter vor dem Dateinamen benutzt.
Zum Beispiel: {example}"
Force update of database (mod data and images) and reboot program.,Erzwingt eine Aktualisierung der Datenbank (Mod-Daten und Bilder) und startet das Programm neu.
"Uninstall every single mod, including vanilla.","Deinstalliert jeden einzelnen Mod, einschließlich Vanilla."
Open the folder containing debug log files.,Öffnet den Ordner mit den Debug-Protokolldateien.
Which mod to show in place of the vanilla game.,Welche Mod soll anstelle des Vanilla-Spiels angezeigt werden?
"Some mods might brick vanilla by giving you an invalid character.
This option will attempt to automatically fix this.","Manche Mods können Vanilla blockieren, indem sie dir einen ungültigen Charakter zuweisen.
Diese Option versucht, dies automatisch zu beheben."
Translate app's text.,Übersetzen Sie den Text der App.
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,hi
